Date,Company,City,ZIP,County,Employees,Regional Commission,MSA
Mar 20,"Direct Auction Services, LLC",Fairburn,30213,Fulton County,58,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 18,My Stir Fry,Alpharetta,30009,Fulton County,15,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 31,Larson-Juhl US LLC,Norcross,30093,Gwinnett County,71,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 17,Big Daddy's Southern Cuisine,Atlanta,30303,Fulton County,7,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 18,Prospect International Airport Services Corp.,Atlanta,30320,Clayton County,113,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 01,"Beasley Media Group, LLC",Augusta,30909,Richmond County,25,CSRA,"Augusta-Richmond County, GA-SC"
Mar 02,C3 Culinary Group LLC,Covington,30016,Newton County,10,Northeast,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 27,Phelan Hallinan Diamond & Jones,Alpharetta,30022,Fulton County,4,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Mar 25,The Family Y of the CSRA,Augusta,30907,Richmond County,165,CSRA,"Augusta-Richmond County, GA-SC"
Mar 25,The Family Y of the CSRA,Augusta,30906,Richmond County,36,CSRA,"Augusta-Richmond County, GA-SC"
Mar 25,The Family Y of the CSRA,Augusta,30901,Richmond County,20,CSRA,"Augusta-Richmond County, GA-SC"
Mar 25,The Family Y of the CSRA,Evans,30809,Columbia County,57,CSRA,"Augusta-Richmond County, GA-SC"
Mar 25,The Familyy of the CSRA,WRENS,30833,Jefferson County,19,CSRA,
Mar 25,tHE FAMILY Y OF THE CSRA,GROVETOWN,30813,Columbia County,48,CSRA,"Augusta-Richmond County, GA-SC"
Mar 25,THE FAMILYY OF THE CSRA,THOMSON,30824,McDuffie County,49,CSRA,"Augusta-Richmond County, GA-SC"
Apr 13,Apple American Group II LLC,Perry,31069,Peach County,54,Middle Georgia,"Warner Robins, GA"
Apr 03,IHG Army Hotels,Fort Benning,31905,Chattahoochee County,53,River Valley,"Columbus, GA-AL"
Mar 16,"Hooters of America, LLC",Atlanta,30339,Cobb County,414,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Jan 01,Tech Posse Inc,Acworth,30102,Cherokee County,7,ARC,"Atlanta-Sandy Springs-Alpharetta, GA"
Apr 12,"The Finish Line, Inc.",Athens,30606,Clarke County,13,Northeast,"Athens-Clarke County, GA"
Apr 12,"The Finish Line, Inc.",Macon,31206,Bibb County,10,Middle Georgia,"Macon-Bibb County, GA"
