geoid,lon,lat
45035,-80.405026,33.079436
45063,-81.271464,33.896659
12129,-84.398952,30.165489
12123,-83.604454,30.04848
47107,-84.615207,35.428126
13201,-84.731511,31.165689
13215,-84.871422,32.509319
47175,-85.452216,35.698644
01031,-85.98901,31.399328
13187,-84.004256,34.572865
13131,-84.234183,30.874548
13311,-83.749055,34.646242
47031,-86.073117,35.490907
13295,-85.301651,34.733763
13319,-83.171406,32.80291
13053,-84.788092,32.343412
12039,-84.619158,30.577962
13301,-82.677958,33.411464
01121,-86.168861,33.378232
47153,-85.410221,35.369797
37043,-83.743536,35.057042
13047,-85.13757,34.898722
13075,-83.429472,31.160684
01069,-85.299395,31.151979
13265,-82.881368,33.565433
13267,-82.055391,32.04785
13249,-84.312589,32.265402
13017,-83.221453,31.760958
13241,-83.403046,34.883894
13045,-85.079766,33.581381
01027,-85.85836,33.269841
13259,-84.83208,32.079967
13027,-83.583034,30.839226
13207,-83.920971,33.014288
13217,-83.845471,33.555145
13285,-85.028121,33.033491
13025,-81.977439,31.195765
01055,-86.040518,34.045672
12067,-83.181666,29.984841
13013,-83.714362,33.991486
13059,-83.37124,33.954364
47139,-84.520758,35.122454
01015,-85.826303,33.774837
12041,-82.798806,29.728569
47065,-85.166522,35.176702
45003,-81.636453,33.54338
13161,-82.637248,31.804057
12013,-85.193941,30.406667
13051,-81.124895,32.00043
12077,-84.882925,30.23766
47035,-84.998405,35.952717
13089,-84.22396,33.76944
45015,-79.946545,33.202225
13315,-83.434385,31.974969
45029,-80.676412,32.875829
47011,-84.857185,35.157394
13015,-84.838875,34.237321
13087,-84.576195,30.879677
13185,-83.270567,30.835688
13057,-84.474318,34.243939
47121,-84.814829,35.515587
13003,-82.875458,31.296335
13103,-81.342809,32.36616
13105,-82.839361,34.113023
13205,-84.193818,31.224832
01005,-85.387128,31.868263
47145,-84.524586,35.849231
12019,-81.856099,29.983191
01011,-85.712655,32.100305
13157,-83.568147,34.137945
13291,-83.98967,34.829957
13289,-83.430786,32.674355
13299,-82.422241,31.05449
13011,-83.496443,34.35607
13273,-84.440696,31.775275
47061,-85.721427,35.384337
13029,-81.440029,32.009793
13071,-83.767794,31.188105
13237,-83.375528,33.320561
13243,-84.757323,31.766228
12065,-83.894423,30.436691
47149,-86.410726,35.845914
12121,-82.990996,30.19746
13099,-84.902552,31.321553
13109,-81.88701,32.153288
13269,-84.250771,32.557925
13079,-83.980612,32.713918
13263,-84.533513,32.696427
13147,-82.965676,34.346269
13251,-81.607794,32.749765
